namespace,selection,relation_set,metric,n_terms,max_depth,mean_depth,pearson_r,pearson_p,spearman_rho,spearman_p,ols_slope,ols_intercept,entropy_peak_depth,entropy_spearman_rho
BP,namespace,is_a,shortest,24136,13.0,5.526723566456745,0.3473156919277217,0.0,0.3708050252052073,0.0,3.2475385810600024,19.25240661487797,4,-0.26153846153846155
BP,namespace,is_a,longest,24136,16.0,6.763423931057342,0.35923032787637565,0.0,0.37622172487444394,0.0,2.3690937282119275,21.177469407491685,4,-0.34803921568627455
BP,namespace,is_a,average,24136,13.818897637795276,6.216592158185168,0.3771194155632497,0.0,0.39542694792261956,0.0,2.99328480789822,18.592623759803512,4,-0.23571428571428568
BP,namespace,is_a+part_of,shortest,24136,13.0,5.444937023533312,0.33938041267752617,0.0,0.36628949499461966,0.0,3.217849591404146,19.67966624740409,4,-0.2879120879120879
BP,namespace,is_a+part_of,longest,24136,17.0,7.545077891945641,0.26841680212818747,0.0,0.27568950261219705,0.0,1.680030686433357,24.524692233799612,9,-0.054695562435500514
BP,namespace,is_a+part_of,average,24136,13.796875,6.608412289410329,0.3339866981272374,0.0,0.34404671217661387,0.0,2.7498672487054376,19.028398103206957,6,-0.09999999999999999
BP,reachable,is_a,shortest,24136,13.0,5.526723566456745,0.3473156919277217,0.0,0.3708050252052073,0.0,3.2475385810600024,19.25240661487797,4,-0.26153846153846155
BP,reachable,is_a,longest,24136,16.0,6.763423931057342,0.35923032787637565,0.0,0.37622172487444394,0.0,2.3690937282119275,21.177469407491685,4,-0.34803921568627455
BP,reachable,is_a,average,24136,13.818897637795276,6.216592158185168,0.3771194155632497,0.0,0.39542694792261956,0.0,2.99328480789822,18.592623759803512,4,-0.23571428571428568
BP,reachable,is_a+part_of,shortest,24136,13.0,5.444937023533312,0.33938041267752617,0.0,0.36628949499461966,0.0,3.217849591404146,19.67966624740409,4,-0.2879120879120879
BP,reachable,is_a+part_of,longest,24136,17.0,7.545077891945641,0.26841680212818747,0.0,0.27568950261219705,0.0,1.680030686433357,24.524692233799612,9,-0.054695562435500514
BP,reachable,is_a+part_of,average,24136,13.796875,6.608412289410329,0.3339866981272374,0.0,0.34404671217661387,0.0,2.7498672487054376,19.028398103206957,6,-0.09999999999999999
