namespace,depth,entropy_none,entropy_english,entropy_domain,n_terms
BP,0,1.0,1.0,,1
BP,1,4.410099326733673,4.1414460711655225,4.20184123230257,18
BP,2,7.752829565989104,7.822793856316332,8.005747789881438,307
BP,3,8.898391186505048,9.086776542731023,9.349744941104674,2016
BP,4,8.95550834547333,9.219542342774691,9.74775465156273,4586
BP,5,8.473563172378828,8.808932787642155,9.686883671788806,5971
BP,6,8.164578079549841,8.526943467369673,9.561642012206267,5307
BP,7,7.785741308298199,8.137125454285997,9.33067156126311,3747
BP,8,7.431437030222265,7.742088636921895,8.863006954891958,1503
BP,9,6.737373261986393,7.056277252696001,8.036770564719141,452
BP,10,5.94910223627874,6.132404529273684,6.787149666700396,157
BP,11,5.036774458286686,5.052359093241932,5.089506921242789,51
BP,12,3.6615804807461707,3.6070504479244274,3.335750712189277,14
BP,13,3.3209505944546684,3.1895415173391393,2.663532754804255,6
