depth,observed,null_lo1,null_hi99,null_med,outside
0,1.0,1.0,3.1707420431017663,2.0,False
1,4.1414460711655225,5.220073083326083,6.0764361984143545,5.680327706066965,True
2,7.822793856316332,7.762320900243993,8.132968220918773,7.94003822587271,False
3,9.086776542731023,8.60793863367403,8.761180470427124,8.686611128185588,True
4,9.219542342774691,8.803352780039923,8.901038600749427,8.851808969033751,True
5,8.808932787642155,8.84594672514263,8.93466067416708,8.889258488590654,True
6,8.526943467369673,8.829073250508765,8.917987593252796,8.873559394689885,True
7,8.137125454285997,8.763614830631518,8.872945473692852,8.817363864573924,True
8,7.742088636921895,8.523469445770235,8.6943023452938,8.60478911065178,True
9,7.056277252696001,7.986501743716409,8.296312094297702,8.145408726626645,True
10,6.132404529273684,7.3022689149427285,7.742141157781654,7.5253264988094895,True
11,5.052359093241932,6.341909133506047,6.97497547720454,6.669717419799493,True
12,3.6070504479244274,4.8940974359110925,5.815833490048182,5.421594963723156,True
13,3.1895415173391393,3.820757598600859,4.958468440981436,4.436605434317882,True
