selection,relation_set,metric,go_id,depth,letters
namespace,is_a,shortest,GO:0000001,5.0,24.0
namespace,is_a,shortest,GO:0000011,6.0,18.0
namespace,is_a,shortest,GO:0000012,6.0,23.0
namespace,is_a,shortest,GO:0000017,7.0,23.0
namespace,is_a,shortest,GO:0000018,7.0,28.0
namespace,is_a,shortest,GO:0000019,8.0,32.0
namespace,is_a,shortest,GO:0000022,4.0,24.0
namespace,is_a,shortest,GO:0000023,7.0,23.0
namespace,is_a,shortest,GO:0000024,7.0,26.0
namespace,is_a,shortest,GO:0000025,7.0,23.0
namespace,is_a,shortest,GO:0000027,7.0,29.0
namespace,is_a,shortest,GO:0000028,7.0,29.0
namespace,is_a,shortest,GO:0000032,7.0,39.0
namespace,is_a,shortest,GO:0000038,6.0,38.0
namespace,is_a,shortest,GO:0000041,7.0,27.0
namespace,is_a,shortest,GO:0000045,6.0,21.0
namespace,is_a,shortest,GO:0000050,4.0,9.0
namespace,is_a,shortest,GO:0000054,4.0,33.0
namespace,is_a,shortest,GO:0000055,5.0,38.0
namespace,is_a,shortest,GO:0000056,5.0,38.0
namespace,is_a,shortest,GO:0000070,4.0,33.0
namespace,is_a,shortest,GO:0000073,4.0,39.0
namespace,is_a,shortest,GO:0000075,4.0,28.0
namespace,is_a,shortest,GO:0000076,6.0,33.0
namespace,is_a,shortest,GO:0000077,5.0,28.0
namespace,is_a,shortest,GO:0000079,8.0,63.0
namespace,is_a,shortest,GO:0000080,4.0,13.0
namespace,is_a,shortest,GO:0000082,5.0,30.0
namespace,is_a,shortest,GO:0000084,4.0,13.0
namespace,is_a,shortest,GO:0000085,4.0,13.0
namespace,is_a,shortest,GO:0000086,5.0,30.0
namespace,is_a,shortest,GO:0000087,4.0,13.0
namespace,is_a,shortest,GO:0000088,4.0,15.0
namespace,is_a,shortest,GO:0000089,5.0,16.0
namespace,is_a,shortest,GO:0000090,4.0,15.0
namespace,is_a,shortest,GO:0000091,5.0,16.0
namespace,is_a,shortest,GO:0000092,5.0,16.0
namespace,is_a,shortest,GO:0000093,4.0,16.0
namespace,is_a,shortest,GO:0000096,4.0,31.0
namespace,is_a,shortest,GO:0000097,5.0,34.0
namespace,is_a,shortest,GO:0000098,5.0,31.0
namespace,is_a,shortest,GO:0000101,5.0,24.0
namespace,is_a,shortest,GO:0000103,4.0,19.0
namespace,is_a,shortest,GO:0000105,4.0,29.0
namespace,is_a,shortest,GO:0000122,10.0,50.0
namespace,is_a,shortest,GO:0000128,2.0,12.0
namespace,is_a,shortest,GO:0000132,6.0,40.0
namespace,is_a,shortest,GO:0000147,5.0,26.0
namespace,is_a,shortest,GO:0000154,6.0,16.0
namespace,is_a,shortest,GO:0000160,4.0,36.0
namespace,is_a,shortest,GO:0000162,6.0,30.0
namespace,is_a,shortest,GO:0000165,5.0,11.0
namespace,is_a,shortest,GO:0000183,7.0,28.0
namespace,is_a,shortest,GO:0000184,9.0,59.0
namespace,is_a,shortest,GO:0000196,6.0,24.0
namespace,is_a,shortest,GO:0000209,10.0,25.0
namespace,is_a,shortest,GO:0000212,3.0,26.0
namespace,is_a,shortest,GO:0000226,3.0,35.0
namespace,is_a,shortest,GO:0000236,5.0,19.0
namespace,is_a,shortest,GO:0000237,5.0,9.0
namespace,is_a,shortest,GO:0000238,5.0,8.0
namespace,is_a,shortest,GO:0000239,5.0,9.0
namespace,is_a,shortest,GO:0000240,5.0,9.0
namespace,is_a,shortest,GO:0000241,5.0,10.0
namespace,is_a,shortest,GO:0000244,8.0,35.0
namespace,is_a,shortest,GO:0000245,7.0,27.0
namespace,is_a,shortest,GO:0000255,3.0,25.0
namespace,is_a,shortest,GO:0000256,4.0,25.0
namespace,is_a,shortest,GO:0000266,6.0,20.0
namespace,is_a,shortest,GO:0000270,6.0,29.0
namespace,is_a,shortest,GO:0000271,5.0,33.0
namespace,is_a,shortest,GO:0000272,5.0,30.0
namespace,is_a,shortest,GO:0000278,3.0,16.0
namespace,is_a,shortest,GO:0000279,3.0,6.0
namespace,is_a,shortest,GO:0000280,6.0,15.0
namespace,is_a,shortest,GO:0000281,4.0,18.0
namespace,is_a,shortest,GO:0000282,4.0,24.0
namespace,is_a,shortest,GO:0000288,6.0,65.0
namespace,is_a,shortest,GO:0000289,9.0,41.0
namespace,is_a,shortest,GO:0000290,8.0,55.0
namespace,is_a,shortest,GO:0000292,7.0,27.0
namespace,is_a,shortest,GO:0000294,9.0,55.0
namespace,is_a,shortest,GO:0000296,6.0,17.0
namespace,is_a,shortest,GO:0000301,5.0,46.0
namespace,is_a,shortest,GO:0000302,4.0,31.0
namespace,is_a,shortest,GO:0000303,6.0,20.0
namespace,is_a,shortest,GO:0000304,5.0,23.0
namespace,is_a,shortest,GO:0000305,5.0,23.0
namespace,is_a,shortest,GO:0000316,3.0,29.0
namespace,is_a,shortest,GO:0000320,3.0,27.0
namespace,is_a,shortest,GO:0000321,4.0,47.0
namespace,is_a,shortest,GO:0000338,9.0,20.0
namespace,is_a,shortest,GO:0000348,7.0,25.0
namespace,is_a,shortest,GO:0000349,7.0,63.0
namespace,is_a,shortest,GO:0000350,7.0,64.0
namespace,is_a,shortest,GO:0000352,7.0,50.0
namespace,is_a,shortest,GO:0000353,7.0,30.0
namespace,is_a,shortest,GO:0000354,7.0,36.0
namespace,is_a,shortest,GO:0000365,7.0,31.0
namespace,is_a,shortest,GO:0000366,8.0,28.0
namespace,is_a,shortest,GO:0000372,8.0,20.0
namespace,is_a,shortest,GO:0000373,8.0,21.0
namespace,is_a,shortest,GO:0000374,8.0,22.0
namespace,is_a,shortest,GO:0000375,6.0,42.0
namespace,is_a,shortest,GO:0000376,7.0,68.0
namespace,is_a,shortest,GO:0000377,7.0,74.0
namespace,is_a,shortest,GO:0000378,6.0,15.0
namespace,is_a,shortest,GO:0000379,5.0,46.0
namespace,is_a,shortest,GO:0000380,7.0,37.0
namespace,is_a,shortest,GO:0000381,8.0,49.0
namespace,is_a,shortest,GO:0000387,7.0,25.0
namespace,is_a,shortest,GO:0000388,7.0,55.0
namespace,is_a,shortest,GO:0000389,8.0,25.0
namespace,is_a,shortest,GO:0000390,7.0,30.0
namespace,is_a,shortest,GO:0000393,7.0,64.0
namespace,is_a,shortest,GO:0000394,6.0,48.0
namespace,is_a,shortest,GO:0000395,8.0,25.0
namespace,is_a,shortest,GO:0000398,6.0,26.0
namespace,is_a,shortest,GO:0000409,9.0,36.0
namespace,is_a,shortest,GO:0000410,7.0,52.0
namespace,is_a,shortest,GO:0000411,7.0,44.0
namespace,is_a,shortest,GO:0000413,8.0,34.0
namespace,is_a,shortest,GO:0000422,4.0,24.0
namespace,is_a,shortest,GO:0000423,5.0,9.0
